,name,party,chamber,text,score_pattern,score_vader
328,Tim Scott,R,senate,Wishing @SenJohnMcCain a speedy recovery!,0.0,0.2942
329,Ted Cruz,R,senate,"ICYMI: 'We Need to Cut Taxes on Individuals, on Families, on Small Businesses-That’s How We’re Going to Create Jobs’ http://bit.ly/2xBysud",-0.25,0.0
330,Mike Enzi,R,senate,This new law brings needed accountability to the VA to help ensure our veterans receive care they deserve. https://t.co/TVjLclLj7A https://t.co/GxA8pYtI1B,0.136363636364,0.8176
331,Katherine Clark,D,house,"1 million+ students are homeless and nearly 428,000 are in foster care. Let's help them chart their path to success.
http://katherineclark.house.gov/index.cfm/press-releases?ID=23FC13D4-DECD-4016-92CC-73AFC93F88A9 http://pbs.twimg.com/media/DJjFyWCW4AACCpL.jpg",0.2,0.8625
332,Patty Murray,D,senate,Now is the time to honor the very foundation of our immigrant nation &amp; find a solution to honor the 800K DREAMers who call America home.,0.2,0.8271
333,Marco Rubio,R,senate,Five years ago #OswaldoPaya was murdered by the Castro regime. We remember his fight for freedom in #Cuba. http://pbs.twimg.com/media/DFcKrn5W0AAO3nq.jpg,0.0,-0.4215
334,Barbara Comstock,R,house,"Always great to visit the Leesburg Air Show. Caity, Hailey, and Henry joined us today for this fun family event. http://pbs.twimg.com/media/DLAXo88XUAAtDYK.jpg http://pbs.twimg.com/media/DLAXo89X0AEWFYj.jpg http://pbs.twimg.com/media/DLAXo87WkAELD08.jpg http://pbs.twimg.com/media/DLAXo89W4AIStkF.jpg",0.55,0.8391
335,Jim Langevin,D,house,Happy 40th anniversary to @ProgresoLatino! Glad to be @RhodesoPawtuxet to celebrate four decades of work empowering immigrants. http://pbs.twimg.com/media/DK7b5yrUIAAvy7k.jpg,0.75,0.8932
336,Ed Markey,D,senate,"If @realDonaldTrump fires Special Counsel Mueller, it will be a full blown constitutional crisis. #TrumpRussia http://www.politico.com/story/2017/07/27/mueller-firing-bipartisan-unity-241052",0.353571428571,-0.34
337,Heidi Heitkamp,D,senate,Spread the word - @AARP_ND is holding free technology workshops for folks 50yrs+. Click here for info &amp; to register: https://goo.gl/2iwH3R http://pbs.twimg.com/media/DJnva0dXUAUiZ2v.jpg,0.4,0.5106
338,Ruben Kihuen,D,house,RT @lourdesmeluza De indocumentado a congresista: @RepKihuen - hoy uno de mas de 110 democratas que apoyaron propuesta @RepGutierrez legalizar a #Dreamers https://twitter.com/RepGutierrez/status/890962825589530624,0.0,0.0
339,Richard Blumenthal,D,senate,I want every DREAMer in America to know this: We see you. We stand with you. And we will fight for you with everything we've got. #DACA http://pbs.twimg.com/media/DJDTqeeXUAAADu5.jpg,0.0,-0.3182
340,Mike Gallagher,R,house,"To achieve full control and situational awareness of the border, we need tactical infrastructure (think fencing, a wall, air assets &amp; other barriers) and advanced technology (like a Bio-metric Entry-Exit System). All of which are included in Chairman @RepMcCaul's bill.",0.208333333333,0.4019
341,Jan Schakowsky,D,house,"On #NationalGrandparentsDay, we thank those who care for their grandchildren, especially those dealing with Harvey &amp; Irma",0.0,0.6908
342,Mike Thompson,D,house,Pleased to see final Suisun Bay Reserve Fleet vessel depart this week. Marks completion of an 8yr project &amp; provides $ for @NatlParkService http://pbs.twimg.com/media/DGgRhyYXsAE07cA.jpg http://pbs.twimg.com/media/DGgRhynXsAAUFnJ.jpg http://pbs.twimg.com/media/DGgRhyuXUAA2TbY.jpg,0.25,0.4404
343,Martin Heinrich,D,senate,"#NetNeutrality makes sure internet is powerful tool to bring injustices to light, and to gather people together to fight back against them.",0.3,0.3612
344,Pramila Jayapal,D,house,Proudly co-sponsoring @RepRaskin's H.R. 1987 to examine the president's fitness and capacity to carry out the job. https://www.yahoo.com/news/bill-create-panel-remove-trump-office-quietly-picks-democratic-support-124521145.html,0.8,0.6908
345,Chris Van Hollen,D,senate,Trump is manufacturing a nuclear crisis with Iran when the U.S. is already facing a nuclear crisis with North Korea.,0.0,-0.8481
346,Adriano Espaillat,D,house,RT @HarlemTechWeek #Harlem Congressman @RepEspaillat to introduce House resolution to protect Harlem from being renamed.#WeRHarlem! http://bit.ly/2si3aRP http://pbs.twimg.com/media/DDVOUB7XsAAXL-j.png,0.0,0.4389
347,Evan Jenkins,R,house,RT @SteveScalise I’m back. http://pbs.twimg.com/media/DK0RJn6WAAACd_9.jpg,0.0,0.0
348,Rick Larsen,D,house,"And still irked ESPN anncers name checked great WSU QBs and included Leaf! but didn't mention Rosenbach, my cousin. https://twitter.com/KimGrinolds/status/914015518314475520 QT @KimGrinolds @RepRickLarsen Good win by WSU.",0.833333333333,0.9565
349,Rick Larsen,D,house,The dry dock at #HMASKattabul is the largest in the southern hemisphere. It serves both military &amp; commercial fleets cc: @Australian_Navy http://pbs.twimg.com/media/DEVY2NUWAAAD5rQ.jpg http://pbs.twimg.com/media/DEVY2OsXoAEybG1.jpg,-0.0416666666667,0.0
350,John Shimkus,R,house,"Good news. This ""experiment"" threatened my constituents who rely on a critical community cancer clinic in Harrisburg for their treatment. https://twitter.com/HouseCommerce/status/915243304857604097 QT @HouseCommerce .@repgregwalden, @RepKevinBrady, @senorrinhatch on Admin's decision to pull #Obamacare era Medicare experiment &gt;&gt; https://energycommerce.house.gov/news/press-release/walden-brady-hatch-statement-administrations-decision-pull-obama-era-medicare-experiment/ http://pbs.twimg.com/media/DLOY6jwXkAErvdd.jpg",0.35,-0.5052
351,Don Beyer,D,house,"They are disregarding regular order *right now* to push an anti-immigrant bill that makes it easier to deport people without due process. https://twitter.com/JakeSherman/status/908152264099057665 QT @JakeSherman One other dynamic to keep in mind: regular order. Conservatives are obsessed w it. They'll want hearings, to feel involved. Buy in.",-0.0663265306122,0.0581
352,Glenn Grothman,R,house,.@POTUS has directed the EEOC to cancel the Obama admin's changes to the EEO-1 form. Here's why it's the right move: http://politi.co/2g1vDpH,0.285714285714,-0.25
353,Jimmy Gomez,D,house,👊 @MayorOfLA  &amp; @LA2024 #FollowTheSun https://twitter.com/CBSNews/status/892148234935820289 QT @CBSNews Los Angeles officially gets the 2028 Olympics and Paris will host the 2024 Games: http://cbsn.ws/2vbVupM http://pbs.twimg.com/amplify_video_thumb/892148116958433282/img/uSUzzjnGYh9HLaUi.jpg https://video.twimg.com/amplify_video/892148116958433282/vid/720x720/aFdtSo-Joo_bz5nv.mp4,0.0,0.5473
354,Steve Cohen,D,house,The Lord works( is worked) in mysterious and mind shocking ways!$$$$$ https://twitter.com/mattyglesias/status/879672977939365888 QT @mattyglesias American conservatism is now headed by a con man because the movement as a whole is largely a series of grifts https://www.theguardian.com/us-news/2017/jun/27/trump-lawyer-jay-sekulow-donations http://pbs.twimg.com/media/DDU56GHXYAIYWCl.jpg,-0.117142857143,0.2789
355,Joaquin Castro,D,house,"RT @Yamiche Read this story. People are dying. Puerto Rico’s Health Care Is in Dire Condition, Three Weeks After Maria https://nyti.ms/2yWJjeT",0.0,0.0516
356,Ralph Abraham,R,house,"""All of our farmers are on their heels trying to figure how to move forward."" http://www.thenewsstar.com/story/news/2017/06/29/la-farmers-weve-been-getting-hammered/437069001/",0.0,0.0
357,Lucille Roybal-Allard,D,house,President Trump’s six-month performance review is in. Surprise – it’s horrible for women. #TrumpAtSix http://pbs.twimg.com/media/DFNktXiXUAA9ZPL.jpg,-1.0,-0.34
358,Adam Smith,D,house,Local #startups are at the forefront of innovation &amp; job creation in our region. I am proud to support their efforts on #StartupDay! http://pbs.twimg.com/media/DGKY04eUAAAZ1So.jpg,0.5,0.8687
359,Judy Chu,D,house,So proud to have cosponsored this important bill to help girls access education. https://twitter.com/repstevechabot/status/915294131156652033 QT @RepSteveChabot BREAKING → #HR2408 Protecting Girls’ Access to Education passed! http://pbs.twimg.com/tweet_video_thumb/DLPCnd6XoAA4rfw.jpg https://video.twimg.com/tweet_video/DLPCnd6XoAA4rfw.mp4,0.65,0.8983
360,Jared Polis,D,house,Today @SenBennetCO &amp; I asked @SecretaryZinke to address invasive mussel larvae in Green Mtn Res threatening H2O infrastructure &amp; ecosystems,-0.2,-0.5267
361,Cory Booker,D,senate,"RT @AIDS_United “Injustice anywhere is a threat to justice everywhere,” Senator @CoryBooker quotes MLK. #ProtectOurCare #HIVResists http://pbs.twimg.com/media/DDWTa5IXkAAsW1f.jpg",0.0,0.0
362,Mike Johnson,R,house,Any fool who contends he has a natural right of supremacy over his neighbors violates the foundational creed of America. http://pbs.twimg.com/media/DHcP4xSXsAEOyuR.jpg,0.192857142857,-0.5423
363,Tom O'Halleran,D,house,"RT @jackjacksonjr @RepOHalleran providing remarks at Navajo Nation Summer Congressional Meeting joined by @RussellBegaye,  AZ, NM &amp; UT cong'l offices. #AZ01 http://pbs.twimg.com/media/DHXXsBJVYAAZif8.jpg",0.0,0.0
364,Bruce Poliquin,R,house,"@UMaine Last week, I announced a $795,000 grant to UMaine for the school's oceanic studies programs: https://poliquin.house.gov/media-center/press-releases/light-795000-grant-umaine-s-oceanic-study-programs-rep-poliquin-tours #mepolitics http://pbs.twimg.com/media/DIqZMyiWsAAGfq0.jpg http://pbs.twimg.com/media/DIqZMyYW4AMSydn.jpg",0.0,0.3612
365,Mario Diaz-Balart,R,house,RT @JPerezMDPD Stay inside during #Irma.  People are out and all about.  These gusts are powerful.   https://www.pscp.tv/w/bILTvTE2NzQzMzJ8MU95S0FyeU9CZHFHYilagdeu4sGrOjrLTxsSjbwiol2KjTSOgtbc-weFbWIA,0.3,0.4215
366,Glenn Thompson,R,house,RT @farmcredit Thank you @ConawayTX11 @RepTedYoho @CongressmanGT @AustinScottGA08 &amp; all @HouseAgNews for today's #TheNextFarmBill listening session!,0.0,0.4199
367,Bradley Byrne,R,house,"RT @USNavy Happy #242NavyBday! 🎂🎈

RT to celebrate America's seapower to protect and promote! 🇺🇸⚓ http://pbs.twimg.com/media/DMA-kJFUIAE0rlG.jpg",1.0,0.9214
368,Jan Schakowsky,D,house,".@BlueCollarDems Co-Chairs @CongBoyle, @RepVeasey and I introduced the #PatriotEmployer Act today.",0.0,0.0
369,Rob Portman,R,senate,Spoke w/ @AliVelshi on @MSNBC about the bipartisan bill we introduced today to #EndHumanTrafficking: http://pbs.twimg.com/media/DGLVJVeWAAQhqzC.jpg https://video.twimg.com/amplify_video/892501596894048256/vid/1280x720/x1CxxPuwZ4qHWZu5.mp4,0.0,0.0
370,Steve Daines,R,senate,RT @GFTrib_PDrake Daines says 5 million acres in Montana of dead and dying trees. Only able to treat less than 50K acres last year in state. #mtnews,0.0266666666667,-0.3818
371,Dina Titus,D,house,"Since Trump took office, I've been calling out the administration's treatment of trans Americans in the military. #TransRightsAreHumanRights http://pbs.twimg.com/media/DFrpPGUXsAAbSrm.jpg http://pbs.twimg.com/media/DFrpQmLXsAM2dct.jpg",-0.1,0.0
372,David Cicilline,D,house,Rep. Cicilline speaks at Touro Synagogue to mark 230th anniversary of George Washington’s letter: “To the Hebrew Congregation in Newport.” http://pbs.twimg.com/media/DHspzmZUwAAyL4K.jpg,0.0,0.0
373,Sanford Bishop,D,house,"Right now, @WALBWeather reports that Irma will reach #SWGA next week with TS strength winds.  http://www.walb.com/story/36083201/first-alert-weather-forecast-irma-now-forecast-to-pass-east-of-southwest-georgia",0.142857142857,0.5106
374,Bob Corker,R,senate,I'll do everything I can to assist our veterans and thank Mr. Pierce for his service. Learn more about his story: http://bit.ly/2f6Yuuh.,0.5,0.3612
375,Kay Granger,R,house,The F-35 program is bringing jobs and economic growth to Fort Worth. Check out this great story by @wfaachannel8 http://bit.ly/2uQkQKh,0.433333333333,0.8546
376,Rod Blum,R,house,"Enjoyed discussion with @iowapolitics on @KXEL1540, talked about economy, draining DC swamp, and Senate healthcare legislation
#IA01 http://pbs.twimg.com/media/DKRT14VWkAAoVtW.jpg",0.5,0.5106
377,Rob Portman,R,senate,My op-ed w/ @SenBlumenthal to see how #SESTA will help women like those at @OasisHouse get justice they deserve:http://time.com/4909912/congress-sex-trafficking-bill/,0.0,0.8225
378,Fred Upton,R,house,Joining @1450whtc live here shortly. Tune in: http://whtc.com/,0.0681818181818,0.0
379,Doug Lamborn,R,house,"#VA: ""disciplining problem employees is critical to department morale &amp; public trust."" Great news from @SecShulkin: http://www.militarytimes.com/articles/va-firings-public-listing-accountability?linkId=39592717",0.266666666667,0.0258
380,Susan Brooks,R,house,"RT @HouseJudiciary NEW: @HouseJudiciary Approves @SusanWBrooks Bill to Improve Mental Health Services for Law Enforcement Officers
https://judiciary.house.gov/press-release/house-judiciary-committee-approves-bill-improve-mental-health-services-law-enforcement-officers/ https://twitter.com/HouseJudiciary/status/918501615971250176 QT @HouseJudiciary ✅ #BREAKING: Law Enforcement Mental Health and Wellness Act was just approved by @HouseJudiciary. https://twitter.com/RepGoodlatte/status/918501475462021121",-0.0212121212121,0.9304
381,John Shimkus,R,house,Yucca Mountain Fact Promotional https://youtu.be/8soWmJKw_yw via @YouTube,0.0,0.0
382,Marsha Blackburn,R,house,Welcome home!  Thank you for your service. https://twitter.com/clarksvillenow/status/883907028929916928 QT @clarksvillenow 326 3rd Brigade soldiers return to Fort Campbell http://pbs.twimg.com/media/DEREujyW0AAd1af.jpg,1.0,0.8528
383,Ted Poe,R,house,RT @Fox26Houston #HOUSTONSTRONG Governor creates Rebuild Texas Fund to piece state back together http://dlvr.it/Pk79g8 http://pbs.twimg.com/media/DIpQ0I9VYAARfee.jpg,0.0,0.2732
384,Jim Langevin,D,house,"Thrilled to have Ariana Deal, winner of my Congressional Art Competition, in DC. Her artwork will hang in the Capitol for all to enjoy! http://pbs.twimg.com/media/DDhDwTvXUAAPW9Y.jpg",0.55,0.8805
385,Brad Schneider,D,house,"Important anniversary. ADA was a step toward ensuring everyone, regardless of abilities, can live their lives with dignity &amp; opportunity. https://twitter.com/VOANews/status/890169366825779200 QT @VOANews George H. W. Bush Signs Americans With Disabilities Act into Law on This Day in 1990 http://dlvr.it/PYd4st http://pbs.twimg.com/media/DFqEUX9UIAAlODY.jpg",0.268181818182,0.9175
386,Jamie Raskin,D,house,"With his atrocious agenda imploding in Congress, Trump turns back to Charlottesville-style race provocations.",-0.35,0.0
387,Bob Casey Jr.,D,senate,"Are they going to cut care for 20 million and raise premiums for millions more, or are they not?",0.5,0.2732
388,Al Franken,D,senate,What do you call a bill that will cause 23 million more people to be uninsured? MEAN.,0.09375,0.0
389,Beto O'Rourke,D,house,RT @TexasLyceum Castlen Kennedy with @ApacheCorp moderates a positive dialogue w/ Congressmen Hurd and O'Rourke. @RepBetoORourke @HurdOnTheHill #CivilinDC https://t.co/6feS1EmBcT,0.227272727273,0.5574
390,Lacy Clay,D,house,The power of strategic #nonviolence is remarkable when combined with discipline and sacrifice #CivilRights #BillClay http://pbs.twimg.com/media/DIfuywZXUAAUxqS.jpg,0.75,0.5574
391,Paul Tonko,D,house,Pop quiz: which of these groups do you think benefits most from the Trump tax proposal? http://pbs.twimg.com/media/DKwwd4IXUAAz0-6.jpg,0.5,0.3818
392,Joe Courtney,D,house,Need help with your #passport application? Come by my Norwich District office NEXT SATURDAY! Or call 860-886-0139 https://courtney.house.gov/passport-day-event-norwich,0.0,0.4574
393,Adam Kinzinger,R,house,Celebrating 101 years of the @NatlParkService and the FIVE #NationalParks that call Illinois home ➡️ #FindYourPark #NPS101 http://pbs.twimg.com/media/DIGhVV4UQAAyrjQ.jpg,0.0,0.5719
394,Frank Pallone,D,house,The 2017 @CongressionalAC is up and running! Sign up and encourage others in #NJ6 to innovate at https://pallone.house.gov/appchallenge http://pbs.twimg.com/media/DKvozMnWsAAljYN.png,0.0,0.7777
395,Francis Rooney,R,house,"RT @femaregion4 Before heading to bed, make sure you have a way to receive weather alerts overnight. #Irma http://pbs.twimg.com/media/DJUvywZV4AABPdQ.jpg",0.5,0.3182
396,Pat Roberts,R,senate,Thanks to all the folks in Barton Co. who turned out for coffee this morning in Great Bend to share their ideas and good advice. http://pbs.twimg.com/media/DHcIMb-XUAAc4N-.jpg http://pbs.twimg.com/media/DHcINO7XgAEr3Zm.jpg,0.566666666667,0.9022
397,Pramila Jayapal,D,house,"Grandparents will be kicked out of nursing homes, kids with asthma won't have inhalers, women will lose care. Nothing good comes from this.",0.7,0.5267
398,Pramila Jayapal,D,house,RT @paulconstant Mind-boggling that this even needs to exist. https://twitter.com/RepJayapal/status/897508813695107072,0.5,0.0
399,Sander Levin,D,house,"that he eschews racism, homophobia, xenophobia, and anti-Semitism, and is working to unite – not divide – our country. 3/3",0.0,-0.6249
400,Dina Titus,D,house,I agree w/ @USCCRgov. Arpaio is civil rights abuser who should be behind bars. He is not above the law. http://www.usccr.gov/press/2017/09-08-Arpaio.pdf http://pbs.twimg.com/media/DJOoTwgWsAIKtR2.jpg http://pbs.twimg.com/media/DJOoVurXkAEo1ge.jpg,-0.2,-0.2732
401,Paul Gosar,R,house,RT @RepWesterman My press conference calling for passage of the Resilient Federal Forests Act is now underway. Watch LIVE: http://facebook.com/RepWesterman http://pbs.twimg.com/media/DLYWk-8XUAQrxV-.jpg,0.136363636364,0.0
402,Marco Rubio,R,senate,Now speaking at the Senate Appropriations hearing on @USDOL budget request. Watch here: http://bit.ly/2s9V2YB,0.0,0.0
403,Richard Blumenthal,D,senate,Any witness counting on a Russia investigation pardon should think again. http://thehill.com/homenews/house/348124-schiff-trump-pardon-sends-message-to-russia-investigation-witnesses,0.0,0.3182
404,Patrick Leahy,D,senate,RT @BrennanCenter Brennan Center report debunks Trump's claims that millions improperly voted in November. Read the facts: http://bit.ly/2pO7MkY http://pbs.twimg.com/media/DFigcEdXoAENBBj.jpg,-0.1,0.0
405,Suzan DelBene,D,house,Congress must pass the #DREAMAct to #ProtectDREAMers who simply want to contribute to the country they call home. http://pbs.twimg.com/amplify_video_thumb/908750291486564354/img/ETDErLPs7QPe4kyL.jpg https://video.twimg.com/amplify_video/908750291486564354/pl/231rB5BuqD-BU7MH.m3u8,0.0,0.0772
406,Lacy Clay,D,house,RT @SenKamalaHarris We’re just 24 hours away from voting on a health care bill that impacts 1/6 of our economy &amp; Republicans still haven’t told us what’s in it.,0.0,0.4939
407,Mike Quigley,D,house,"Those in opposition to Trump’s cruel #transgender ban: Generals, Sec of Defense, leading #vets organizations—RT to add your name to the list",-0.55,-0.7845
408,Ted Cruz,R,senate,"For his work in ‘Charter 08’ a manifesto shining light on the Communist Party he received a Nobel Peace Prize, and an 11-yr prison sentence",0.4,0.7579
409,Steny Hoyer,D,house,Watch Amber discuss how coverage would be unaffordable under #TrumpCare because she has a pre-existing condition. #TrumpCareStories 1/2 https://twitter.com/RepCheri/status/887720270827585536 QT @RepCheri The GOP’s reckless health care gamble would explode costs for so many people like Amber. #TrumpcareStories #ProtectOurCare http://pbs.twimg.com/media/DFHO4p4XkAE4Qn_.jpg https://video.twimg.com/amplify_video/887717389449793536/vid/320x180/xPqrlgVqMo02viR8.mp4,0.5,0.778
410,Darren Soto,D,house,RT @RosLehtinen Thx @DarrenSoto @RepHastingsFL 4 supporting letter urging Congress 4 adequate $$ 2 help Floridians w #HurricaneIrma http://ros-lehtinen.house.gov/sites/ros-lehtinen.house.gov/files/FEMA%20Funding%20letter%209-8-17.pdf,0.291666666667,0.8402
411,Dan Kildee,D,house,".@AmerMedicalAssn opposes the Senate health care bill because ""insurance losses number in tens of millions.""

RT to oppose #Trumpcare https://twitter.com/AmerMedicalAssn/status/879454962664837120 QT @AmerMedicalAssn When insurance losses number in tens of millions, it is a number too high to bear. http://spr.ly/60188oKNY #CBOScore #HealthcareBill #BCRA http://pbs.twimg.com/media/DDRzoGVW0AEgL_X.jpg",0.16,0.4995
412,Frank Pallone,D,house,Israel is one of America’s most important allies &amp; I look forward to bringing these lessons to my work in Congress. http://bit.ly/2vFZBLd,0.45,0.2716
413,Steve Daines,R,senate,At the stakeholders meeting this morning thanking the team working to protect the communities impacted by the Lolo Peak Fire. http://pbs.twimg.com/media/DHmta8WVYAAdbKI.jpg,0.0,0.0516
414,Ted Lieu,D,house,RT @TheRealFPL Join people of faith to ask Congress to prevent nuclear first strike https://action.groundswell-mvmt.org/petitions/people-of-faith-call-on-congress-to-pass-legislation-to-prevent-nuclear-first-strike,0.25,0.5574
415,Jared Polis,D,house,"@NACEPtweets We must provide #dualenrollment access for all kids, support educators, &amp; advocate for policies that help across all higher ed #NACEP2017",0.25,0.6597
416,Nancy Pelosi,D,house,FACT: More people will lose coverage under #Trumpcare than gained it under the ACA. @92Y,0.5,-0.0935
417,Yvette Clarke,D,house,Ridiculous. This is an attack on the right of communities of color to vote as full citizens. http://wapo.st/2gXUcJ1?tid=ss_tw&utm_term=.db8a36a53480,0.100793650794,-0.6808
418,Joe Donnelly,D,senate,(1/2) Tomorrow reauthorization expires for federally qualified health centers. Indiana has 83 of these centers.,0.0,0.0
419,Patrick Leahy,D,senate,Leahy a leader among nearly 200 in Congress filing suit to compel POTUS to comply w Constitution's Emoluments Clause https://t.co/FljLevVOEb,0.1,0.0
420,Mike Thompson,D,house,Proud to lead 69 members of Congress urging Internat’l Trade Commission to protect U.S. solar industry. Learn more: http://www.solarnovus.com/lawmakers-urge-feds-to-oppose-punitive-tariffs-that-would-gut-us-solar-industry_N11090.html,0.65,0.6908
421,Maria Cantwell,D,senate,"NOW: I'm on the #Senate floor bc the #healthcare of 22M people is still at risk &amp; we must keep up this fight
WATCH: https://www.senate.gov/floor/",0.0,-0.6249
422,Tammy Baldwin,D,senate,"A year ago, legislation named in honor of Jason Simcakoski became law. We're continuing to build on our progress. http://www.weau.com/content/news/435263023.html",0.0,0.7184
423,Randy Weber,R,house,"Due to Harvey, my Galveston ""Kolaches with the Congressman"" is postponed until September 9. Will post new details ASAP.",0.00568181818182,-0.2023
424,Gene Green,D,house,"If you're looking for a new job I encourage you to join us Monday.

A list of companies can be found here: https://green.house.gov/about/events/northside-aldine-job-fair  #TX29 http://pbs.twimg.com/media/DL3EcByW4AAqTIz.jpg",0.136363636364,0.6705
425,Joe Courtney,D,house,There are bipartisan ways to shore up markets &amp; fix system. Ending CSR payments not one of them. We need to work together to get this done. https://twitter.com/RepJoeCourtney/status/918865267966451713 QT @RepJoeCourtney .@CBO: ending CSR payments will increase premiums and deficit. This is the wrong way to address healthcare market. https://www.cbo.gov/system/files/115th-congress-2017-2018/reports/53009-costsharingreductions.pdf,-0.5,0.0085
426,Ted Budd,R,house,Congrats to Special Agents Crystal Griner &amp; David Bailey &amp; @AlexandriaVAPD Officers on receiving the Medal of Valor. https://www.washingtonpost.com/video/politics/trump-awards-medal-of-valor-to-baseball-shooting-first-responders/2017/07/27/39afdb54-7303-11e7-8c17-533c52b2f014_video.html,0.357142857143,0.8481
427,Pramila Jayapal,D,house,This planet is the only one we have—thanks to @ShorelineWAGov for recommitting to the promise of the Paris climate accord! #Cities4Climate,0.0,0.3802
428,John Thune,R,senate,I encourage South Dakota students interested in applying for a U.S. service academy to contact my office. More info: https://www.thune.senate.gov/public/index.cfm/press-releases?ID=660FA05F-0D00-4C4C-9CCC-7CC0357EB8A7,0.375,0.7184
429,Claire McCaskill,D,senate,"@realDonaldTrump Through town halls, hearings, roundtables, &amp; an expansive survey of college campuses, this topic has been reviewed extensively. (9/) http://pbs.twimg.com/media/DLOn2XoW0AAUn4e.jpg",0.0,0.0
430,Frank Pallone,D,house,"US leadership should mean standing with our allies, not abandoning them
https://nyti.ms/2uUft8R",-0.3125,0.2924
431,Francis Rooney,R,house,RT @LaurenAshburn .@RepRooney of Florida discusses #HurricaneIrma and the congressional agenda: http://goo.gl/Paxafy http://pbs.twimg.com/media/DJJDRRaXcAEjCXN.jpg,0.0,0.0
432,Brett Guthrie,R,house,Great to meet w/ @KHEAA this afternoon about federal student loans. http://pbs.twimg.com/media/DFCv9HqXUAIPhJh.jpg,0.8,0.6249
433,Darren Soto,D,house,"RT @CentralFLTop5 .@RepDarrenSoto talks about the farm bill, @freshfromFL &amp; the benefits of food as medicine. #feedhopenow http://ift.tt/2yuJMW0 http://pbs.twimg.com/media/DKVL5_6XUAApkB7.jpg",0.0,0.3818
434,John Cornyn,R,senate,RT @DBrandewie Senate has passsed @JohnCornyn bills to rename BP checkpoint after Javier Vega &amp; require direct dial 911 from multiline phones (Kari's Law),0.1,0.0
435,Dick Durbin,D,senate,Congrats to @Fermilab for breaking ground on @LBNFacility! Future neutrino experiments from IL to SD will be groundbreaking! #buildLBNF,0.0,0.6103
436,Keith Ellison,D,house,"Laws blocking firearm access for batterers, subject to protection orders, are linked to a 19% cut in rates of domestic homicide.",-0.0833333333333,-0.5719
437,Lucille Roybal-Allard,D,house,La #FMLA ha significado q muchos trabajadores pueden tomar tiempo libre sin preocuparse de perder sus trabajos o seguro médico. #FMLA24,0.0,-0.296
438,Eliot Engel,D,house,Thank you @MountStVincent @CMSVathletics Volleyball for your generous donations to help those in need in the #Caribbean. http://pbs.twimg.com/media/DLeCmhbUQAARBpX.jpg,0.0,0.8176
439,Patrick Leahy,D,senate,"No, exactly the opposite. Take a moment to read the Udall Amendment when you have a chance. https://twitter.com/JaceLGalloway/status/888060804716793857 QT @JaceLGalloway @SenatorLeahy Does this mean you are voting in FAVOR of the cruel SLAUGHTER on our magnificent wild horses and burros?",-0.05625,0.7824
440,Josh Gottheimer,D,house,"#TeamGottheimer lent a hand at the Bergen County Senior Picnic this week. If you know someone struggling w federal services, call my office. http://pbs.twimg.com/media/DKApU4DW4AEhMEy.jpg http://pbs.twimg.com/media/DKApU4PWsAAFCHF.jpg http://pbs.twimg.com/media/DKApVYpXUAMp9DB.jpg http://pbs.twimg.com/media/DKApV3PXoAAzjvG.jpg",0.0,0.1027
441,Al Green,D,house,RT @hardball RIGHT NOW: @RepAlGreen on #Hardball talking about the latest on Hurricane Harvey. Tune in.,0.392857142857,0.0
442,Stephanie Murphy,D,house,Had the privilege of touring @WestPoint_USMA this week before my first Board of Visitors meeting. Incredible place of knowledge &amp; tradition. http://pbs.twimg.com/media/DEsnI0TXYAE6qto.jpg http://pbs.twimg.com/media/DEsndrzWsAEifK8.jpg,0.575,0.3612
443,Mario Diaz-Balart,R,house,Happy first day of school to @HendryCountyGov students and teachers! Wishing you all a successful and productive year! #SWFL,0.683333333333,0.8745
444,Maggie Hassan,D,senate,"Following #Charlottesville, @SenateHSGACDems and I are calling for a hearing on violent white supremacism http://bit.ly/2wrE75e",-0.266666666667,-0.5994
445,John McCain,R,senate,Cindy &amp; I couldn't be more proud of our daughter @MeghanMcCain &amp; all that she has &amp; will continue to accomplish!,0.75,0.0826
446,Mark Warner,D,senate,"It might not be politically convenient, but the American people deserve to know #GrahamCassidy's impacts on coverage, premiums &amp; the deficit",0.0,-0.5499
447,Pramila Jayapal,D,house,"Hey, @HouseJudiciary and @RepGoodlatte: I'm introducing this legislation because you're refusing to hold hearings on Comey and #TrumpRussia. http://pbs.twimg.com/media/DFsTSTVUwAAGNg1.jpg https://video.twimg.com/amplify_video/890320489771450368/pl/eHwBP9WH0WxynBLa.m3u8",0.0,-0.4019
448,Al Green,D,house,RT @RepAlGreen I support citizenship for the righteous #DREAMers! #ProtectDREAMers #DACA,0.0,0.4574
449,Dwight Evans,D,house,"RT @HouseSBCDems Small businesses need all possible resources to rebuild, Dems seek answers on unimplemented disaster loan program: http://bit.ly/2y9AWvY",-0.125,-0.6249
450,Ben Cardin,D,senate,"Tremendous frustration w/GSA cancellation of #FBI HQ project. They ignored Congress, wasted taxpayer dollars and threaten nat'l security",0.0666666666667,-0.8316
451,Darren Soto,D,house,"RT @TheBeatWithAri ""We just need the President to take this seriously and show some interest,"" - Rep. @DarrenSoto says on #TheBeat http://snpy.tv/2yy7RdL",-0.333333333333,-0.2204
452,Al Franken,D,senate,@POTUS Millions of Americans made their voices heard when Senate Republicans tried to destroy the ACA. And those GOP plans thankfully failed.,-0.5,-0.6124
